name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Monikanchan Bus Service,1-Kolkata to Digha,Sodepur,Bus Stand,04h 20m,06:00,10:20,INR215,2Seats available,3.740
City Express,1-Kolkata to Digha,Dunlop,Old Digha Petrol Pump,04h 10m,07:00,11:10,INR370,28Seats available,4.026
Snemita Paribahan (Maa Chandi)),1-Kolkata to Digha,Esplanade,Bus Stand,04h 29m,06:21,10:50,INR320,33Seats available,4.221
Satya Paribahan,1-Kolkata to Digha,Esplanade,Digha,04h 15m,07:20,11:35,324,20Seats available,3.730
Mayuri Express,1-Kolkata to Digha,Esplanade,New Digha,04h 30m,18:20,22:50,INR400,61Seats available,4.120
Santosh Bus Service,1-Kolkata to Digha,Esplanade,Digha,05h 09m,11:51,17:00,323,46Seats available,3.630
Sagufta Travels(Maa Chandi),1-Kolkata to Digha,Karunamoyee,New Digha Bus Stand,07h 30m,22:10,05:40,394,25Seats available,4.216
Sree Jagannath Travels,1-Kolkata to Digha,Esplanade,Digha Bus stand,04h 50m,07:40,12:30,315,36Seats available,2.68
Parameswar Travels,1-Kolkata to Digha,Esplanade,New Digha,05h 15m,23:45,05:00,302,51Seats available,2.8140
Snemita Parisheba(Samanta),1-Kolkata to Digha,Esplanade,Bus Stand,04h 25m,18:00,22:25,352,25Seats available,3.725
Parameswar Travels,1-Kolkata to Digha,Esplanade,New Digha,05h 55m,21:50,03:45,302,51Seats available,2.620
Sagufta Travels (Atithi),1-Kolkata to Digha,Esplanade,New Digha,05h 01m,23:59,05:00,347,22Seats available,3.336
Parameswar Travels,1-Kolkata to Digha,Esplanade,New Digha,05h 01m,23:59,05:00,302,47Seats available,2.7130
Snemita Paribahan,1-Kolkata to Digha,Barrackpore,Bus Stand,04h 40m,06:30,11:10,INR370,1Seat available,3.917
Parameswar Travels,1-Kolkata to Digha,Esplanade,New Digha,05h 05m,23:55,05:00,302,49Seats available,1.932
Snemita Paribahan(Snemita),1-Kolkata to Digha,Barrackpore,Bus Stand,04h 31m,05:55,10:26,INR370,15Seats available,3.721
Express Line,1-Kolkata to Digha,Esplanade,Digha,04h 25m,07:30,11:55,404,7Seats available,4.6414
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:30,04:30,585,18Seats available,4.4335
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 45m,07:15,12:00,315,3Seats available,4.4309
Shyamoli Paribahan Pvt Ltd,1-Kolkata to Digha,Esplanade,Digha,04h 30m,08:15,12:45,INR400,16Seats available,4.3323
Greenline,1-Kolkata to Digha,Karunamoyee,RAJBARI KALI MANDIR,05h 00m,06:45,11:45,INR350,12Seats available,4.3328
Express Line,1-Kolkata to Digha,Esplanade,Digha,05h 00m,23:45,04:45,584,42Seats available,4.5289
