name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Om Travels,1-Jodhpur to Ajmer,Om travels near shastri nagar...,Hazari bagh,06h 00m,15:00,21:00,INR600,36Seats available,3.3
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 05m,15:00,19:05,INR580,28Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,05h 00m,15:30,20:30,INR330,37Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Bypass (parbatpura),05h 10m,16:00,21:10,INR700,30Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,"Jain travels, opp. Cazri main...",Makhupura bypass indian petro...,05h 55m,17:00,22:55,INR330,40Seats available,3.1
B R Travels,1-Jodhpur to Ajmer,B R TRAVELS  BASNI MANDI MOD ...,Makhupura parbatpura byepass,04h 30m,18:30,23:00,INR650,34Seats available,4.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 36m,19:00,23:36,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 50m,19:00,23:50,INR330,40Seats available,3.1
FlixBus,1-Jodhpur to Ajmer,Jodhpur (Cazri Road,Ajmer Bypass,04h 50m,19:00,23:50,INR149,29Seats available,5.011
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 30m,20:00,00:30,INR580,35Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,05h 00m,20:30,01:30,INR330,48Seats available,3.1
Chanakya Travels Agency,1-Jodhpur to Ajmer,Near Kaps Pizza olympic road ...,Charnal filling centre IOCL P...,04h 45m,20:30,01:15,INR500,40Seats available,3.7
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,00:40,05:30,INR700,15Seats available,3.3
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,01:10,06:00,INR700,41Seats available,3.3
Shri Ganesh Travels,1-Jodhpur to Ajmer,SHREE GANESH TRAVELS DALLE KH...,Shree Ganesh Travels parwat p...,03h 30m,01:30,05:00,INR450,1Seat available,3.8
R.S.Sodha Travels,1-Jodhpur to Ajmer,Barvi Road Choraha,Prabhat pura By pass,03h 35m,01:45,05:20,INR660,39Seats available,3.5
V k jain travels,1-Jodhpur to Ajmer,KALPATRU VKJAIN TRAVELS ( PIC...,Ajmeri Puliya,05h 05m,08:45,13:50,INR330,25Seats available,3.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 30m,11:00,15:30,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 00m,14:00,18:00,INR430,40Seats available,3.18
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 15m,14:30,18:45,INR330,40Seats available,3.1
Om Travels,1-Jodhpur to Ajmer,Om travels near shastri nagar...,Hazari bagh,06h 00m,15:00,21:00,INR600,36Seats available,3.3
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 05m,15:00,19:05,INR580,28Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,05h 00m,15:30,20:30,INR330,37Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Bypass (parbatpura),05h 10m,16:00,21:10,INR700,30Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,"Jain travels, opp. Cazri main...",Makhupura bypass indian petro...,05h 55m,17:00,22:55,INR330,40Seats available,3.1
B R Travels,1-Jodhpur to Ajmer,B R TRAVELS  BASNI MANDI MOD ...,Makhupura parbatpura byepass,04h 30m,18:30,23:00,INR650,34Seats available,4.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 36m,19:00,23:36,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 50m,19:00,23:50,INR330,40Seats available,3.1
FlixBus,1-Jodhpur to Ajmer,Jodhpur (Cazri Road,Ajmer Bypass,04h 50m,19:00,23:50,INR149,29Seats available,5.011
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 30m,20:00,00:30,INR580,35Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,05h 00m,20:30,01:30,INR330,48Seats available,3.1
Chanakya Travels Agency,1-Jodhpur to Ajmer,Near Kaps Pizza olympic road ...,Charnal filling centre IOCL P...,04h 45m,20:30,01:15,INR500,40Seats available,3.7
Tiger Travels,1-Jodhpur to Ajmer,Main Pal Road,200 Ft Bypass,06h 00m,21:00,03:00,INR400,34Seats available,4.0
Jakhar Travels And Cargo,1-Jodhpur to Ajmer,D.P.S Circle,Parwatpura Bypass ajmer,06h 00m,21:45,03:45,INR600,23Seats available,3.6
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 51m,22:00,02:51,INR330,42Seats available,3.1
Gajraj Travels,1-Jodhpur to Ajmer,Shree Gajraj Travels Near Dal...,Ajmeri Puliya,05h 10m,22:00,03:10,INR650,34Seats available,4.4
Om Travels,1-Jodhpur to Ajmer,Om travels barvi road circle,Bypass (parbatpura,05h 00m,22:00,03:00,INR400,12Seats available,3.3
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,00:40,05:30,INR700,15Seats available,3.3
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,01:10,06:00,INR700,41Seats available,3.3
Shri Ganesh Travels,1-Jodhpur to Ajmer,SHREE GANESH TRAVELS DALLE KH...,Shree Ganesh Travels parwat p...,03h 30m,01:30,05:00,INR450,1Seat available,3.8
R.S.Sodha Travels,1-Jodhpur to Ajmer,Barvi Road Choraha,Prabhat pura By pass,03h 35m,01:45,05:20,INR660,39Seats available,3.5
V k jain travels,1-Jodhpur to Ajmer,KALPATRU VKJAIN TRAVELS ( PIC...,Ajmeri Puliya,05h 05m,08:45,13:50,INR330,25Seats available,3.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 30m,11:00,15:30,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 00m,14:00,18:00,INR430,40Seats available,3.18
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 15m,14:30,18:45,INR330,40Seats available,3.1
Om Travels,1-Jodhpur to Ajmer,Om travels near shastri nagar...,Hazari bagh,06h 00m,15:00,21:00,INR600,36Seats available,3.3
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 05m,15:00,19:05,INR580,28Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,05h 00m,15:30,20:30,INR330,37Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Bypass (parbatpura),05h 10m,16:00,21:10,INR700,30Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,"Jain travels, opp. Cazri main...",Makhupura bypass indian petro...,05h 55m,17:00,22:55,INR330,40Seats available,3.1
B R Travels,1-Jodhpur to Ajmer,B R TRAVELS  BASNI MANDI MOD ...,Makhupura parbatpura byepass,04h 30m,18:30,23:00,INR650,34Seats available,4.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 36m,19:00,23:36,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 50m,19:00,23:50,INR330,40Seats available,3.1
FlixBus,1-Jodhpur to Ajmer,Jodhpur (Cazri Road,Ajmer Bypass,04h 50m,19:00,23:50,INR149,29Seats available,5.011
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 30m,20:00,00:30,INR580,35Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,05h 00m,20:30,01:30,INR330,48Seats available,3.1
Chanakya Travels Agency,1-Jodhpur to Ajmer,Near Kaps Pizza olympic road ...,Charnal filling centre IOCL P...,04h 45m,20:30,01:15,INR500,40Seats available,3.7
Tiger Travels,1-Jodhpur to Ajmer,Main Pal Road,200 Ft Bypass,06h 00m,21:00,03:00,INR400,34Seats available,4.0
Jakhar Travels And Cargo,1-Jodhpur to Ajmer,D.P.S Circle,Parwatpura Bypass ajmer,06h 00m,21:45,03:45,INR600,23Seats available,3.6
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 51m,22:00,02:51,INR330,42Seats available,3.1
Gajraj Travels,1-Jodhpur to Ajmer,Shree Gajraj Travels Near Dal...,Ajmeri Puliya,05h 10m,22:00,03:10,INR650,34Seats available,4.4
Om Travels,1-Jodhpur to Ajmer,Om travels barvi road circle,Bypass (parbatpura,05h 00m,22:00,03:00,INR400,12Seats available,3.3
Shri Ganesh Travels,1-Jodhpur to Ajmer,"BORANADA, JODHPUR",Shree Ganesh Travels parwat p...,04h 00m,22:00,02:00,INR500,40Seats available,3.8
Jakhar Travels And Cargo,1-Jodhpur to Ajmer,Railway Station,Parwatpura Bypass ajmer,04h 40m,22:15,02:55,INR600,20Seats available,3.6
V k jain travels,1-Jodhpur to Ajmer,V.K Jain Travels Kalptaru Cin...,Ajmeri Puliya,04h 50m,22:21,03:11,INR350,34Seats available,3.0
V k jain travels,1-Jodhpur to Ajmer,V.K Jain Travels Kalptaru Cin...,Ajmeri Puliya,04h 50m,22:25,03:15,INR430,34Seats available,3.0
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Paota sabji mandi,Railway station,04h 45m,22:26,03:11,INR700,33Seats available,3.3
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,00:40,05:30,INR700,15Seats available,3.3
Chouhan Tour and Travel,1-Jodhpur to Ajmer,Kalpana travels kalpaturu cin...,Kolhapura Bypass,04h 50m,01:10,06:00,INR700,41Seats available,3.3
Shri Ganesh Travels,1-Jodhpur to Ajmer,SHREE GANESH TRAVELS DALLE KH...,Shree Ganesh Travels parwat p...,03h 30m,01:30,05:00,INR450,1Seat available,3.8
R.S.Sodha Travels,1-Jodhpur to Ajmer,Barvi Road Choraha,Prabhat pura By pass,03h 35m,01:45,05:20,INR660,39Seats available,3.5
V k jain travels,1-Jodhpur to Ajmer,KALPATRU VKJAIN TRAVELS ( PIC...,Ajmeri Puliya,05h 05m,08:45,13:50,INR330,25Seats available,3.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 30m,11:00,15:30,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 00m,14:00,18:00,INR430,40Seats available,3.18
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 15m,14:30,18:45,INR330,40Seats available,3.1
Om Travels,1-Jodhpur to Ajmer,Om travels near shastri nagar...,Hazari bagh,06h 00m,15:00,21:00,INR600,36Seats available,3.3
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 05m,15:00,19:05,INR580,28Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,05h 00m,15:30,20:30,INR330,37Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Bypass (parbatpura),05h 10m,16:00,21:10,INR700,30Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,"Jain travels, opp. Cazri main...",Makhupura bypass indian petro...,05h 55m,17:00,22:55,INR330,40Seats available,3.1
B R Travels,1-Jodhpur to Ajmer,B R TRAVELS  BASNI MANDI MOD ...,Makhupura parbatpura byepass,04h 30m,18:30,23:00,INR650,34Seats available,4.0
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 36m,19:00,23:36,INR330,36Seats available,3.1
Jain travels regd,1-Jodhpur to Ajmer,Jain travels (regd.) below ho...,Makhupura bypass indian petro...,04h 50m,19:00,23:50,INR330,40Seats available,3.1
FlixBus,1-Jodhpur to Ajmer,Jodhpur (Cazri Road,Ajmer Bypass,04h 50m,19:00,23:50,INR149,29Seats available,5.011
