Name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
Meghalaya Transport Corporation(MTC)  - 163306,1-Shillong to Tura (Meghalaya),Mawiong ISBT,Tura Bus stand,10h 30m,17:00,3:30,INR517,28Seats available,3.3314
NETWORK TRAVELS,1-Shillong to Tura (Meghalaya),Borapani,Tura,13h 30m,17:00,6:30,500,40Seats available,3.86
name,Route,Source,Dest,Duration,Starting time,Reach Time,Price,Seats,Rating
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
RAYAN TRAVELS,1-Shillong to Guwahati,Borapani,ISBT Guwahati,02h 30m,16:00,18:30,250,50Seats available,3.335
Meghalaya Transport Corporation(MTC)  - 172215,1-Shillong to Guwahati,Barik Point,ASTC Paltan Bazar,03h 00m,15:00,18:00,INR200,15Seats available,4.0181
Upasana Travels (Under ASTC),1-Shillong to Guwahati,Police Bazar Stand,ISBT Guwahati,04h 00m,7:00,11:00,INR325,39Seats available,3.419
